scope	instances	hls_target_ns	hls_estimated_ns	hls_estimated_fmax_mhz	link_target_mhz	bram18k	bram18k_percent	dsp	dsp_percent	ff	ff_percent	lut	lut_percent	uram	uram_percent	evidence
controller	1	3.33	3.746	266.951	200.000	1212	45.089	126	2.117	429922	24.661	453437	52.019	0	0.000	hls/qwen_hls_control_cache_8x64_nk_prj_qwen2_5_3b.resident_layer.t8.d2.ii2.r0.wr33.cw1.block_prefill_q214_resident_fix_e2e/solution1/syn/report/control_cache_8x64_dual_core_nk_csynth.rpt
compute_one	1	3.33	2.433	411.015	200.000	48	1.786	677	11.374	197567	11.333	117649	13.497	0	0.000	hls/qwen_hls_compute_core_8x64_nk_prj_qwen2_5_3b.resident_layer.t8.d2.ii2.r0.wr33.cw1.block_prefill_q214_resident_fix_e2e/solution1/syn/report/compute_core_8x64_unified_nk_csynth.rpt
compute_two	2	3.33	2.433	411.015	200.000	96	3.571	1354	22.749	395134	22.665	235298	26.994	0	0.000	2x:hls/qwen_hls_compute_core_8x64_nk_prj_qwen2_5_3b.resident_layer.t8.d2.ii2.r0.wr33.cw1.block_prefill_q214_resident_fix_e2e/solution1/syn/report/compute_core_8x64_unified_nk_csynth.rpt
status	1	3.33	2.433	411.015	200.000	0	0.000	0	0.000	4867	0.279	8532	0.979	0	0.000	hls/qwen_hls_cc8_status_sink_nk_prj_qwen2_5_3b.resident_layer.t8.d2.ii2.r0.wr33.cw1.block_prefill_q214_resident_fix_e2e/solution1/syn/report/cc8_status_sink_nk_csynth.rpt
whole_system	4	3.33	3.746	266.951	200.000	1308	48.661	1480	24.866	829923	47.605	697267	79.991	0	0.000	derived_controller_plus_2compute_plus_status
