evidence_source	timed_scope	profile	variant	scope	active_query_rows_per_block	block_partition	layers	forwards	tasks	xsim_active_us	xsim_clock_mhz	xsim_cycles	projected_us_200mhz	useful_mac	useful_gmac_s_200mhz	physical_efficiency_percent	checked_values	max_raw_error	tolerance	intermediate_host_copy	result
HW_Emu_CU_trace	kernel_active_only	small	block_prefill_q214_exact	one_block_final_norm	8	P8	1	1	3	104.843	300	31452.9	157.2645	299520	1.904562	0.929962	512	10	32	0	PASS
HW_Emu_CU_trace	kernel_active_only	small	block_prefill_q214_exact	two_layer_one_block_final_norm	8	P8	2	1	5	185.655	300	55696.5	278.4825	599040	2.151087	1.050335	512	10	64	0	PASS
HW_Emu_CU_trace	kernel_active_only	small	block_prefill_q214_exact	block_prompt_p8_generate2	8	P8+D1	2	2	10	258.503	300	77550.9	387.7545	675072	1.740978	0.850087	NA	NA	NA	0	PASS
HW_Emu_CU_trace	kernel_active_only	small	block_prefill_q214_exact	multiblock_prompt_p16_generate1	8	P8+P8	2	2	10	364.087	300	109226.1	546.1305	1214464	2.223762	1.085821	NA	NA	NA	0	PASS
HW_Emu_CU_trace	kernel_active_only	small	block_prefill_q214_exact	multiblock_prefill_p16_tail_golden	8	P8+P8	2	2	9	357.259	300	107177.7	535.8885	1214464	2.266262	1.106573	512	10	64	0	PASS
HW_Emu_CU_trace	kernel_active_only	small	block_prefill_q214_exact	tail_block_prompt_p11_generate1	8	P8+P3	2	2	10	296.956	300	89086.8	445.4340	827904	1.858646	0.907542	NA	NA	NA	0	PASS
