phase	context_len	active_query_rows_per_block	cycles_200mhz	latency_ms	useful_macs	throughput_gmac_s	physical_efficiency_pct	token_s
p	64	8	637103	3.185515	618545152	194.174	94.812	2511.368
d	64	1	568040	2.840200	77336576	27.229	13.296	352.088
p	256	8	685489	3.427445	624836608	182.304	89.016	2334.100
d	256	1	590794	2.953970	78123008	26.447	12.913	338.527
p	512	8	749407	3.747035	633225216	168.994	82.516	2135.021
d	512	1	622231	3.111155	79171584	25.448	12.426	321.424
p	1024	8	877846	4.389230	650002432	148.090	72.310	1822.643
d	1024	1	683754	3.418770	81268736	23.771	11.607	292.503
